Learned weight vectors and counts:
w: [0. 0. 0. 0.], count: 1
w: [-3.9901618  -2.268303   -2.903076   -1.58866612], count: 3
w: [-3.9687308  -2.337832   -2.815365   -1.55901312], count: 9
w: [-3.7493008  -1.882802   -3.312965   -1.83155312], count: 7
w: [-4.2348408  -2.473172   -2.214785   -1.91375212], count: 4
w: [-4.2104468  -2.325842   -2.356705   -1.97228712], count: 86
w: [-4.1983208  -2.303495   -2.404032   -1.87526312], count: 4
w: [-4.2197148  -2.371782   -2.3943788  -1.75561312], count: 19
w: [-4.0689448  -2.175822   -2.7002188  -1.76785612], count: 24
w: [-4.1464058  -2.363502   -2.4599888  -1.65466612], count: 48
w: [-4.0677158  -3.320132   -2.0813188  -0.90432612], count: 29
w: [-3.9187558  -2.977252   -2.4844088  -1.04691612], count: 6
w: [-3.8811188  -3.05961    -2.4058658  -0.97239212], count: 12
w: [-3.7459388  -2.95366    -2.6402358  -0.93239412], count: 15
w: [-3.7879038  -2.66272    -2.8188258  -1.15308412], count: 7
w: [-3.8653648  -2.8504     -2.5785958  -1.03989412], count: 15
w: [-3.7641948  -2.76018    -2.8136558  -0.99718012], count: 13
w: [-3.6323648  -2.57001    -3.1447658  -0.99067302], count: 5
w: [-4.1179048  -3.16038    -2.0465858  -1.07287202], count: 15
w: [-3.9971048  -2.75294    -2.5229358  -1.33416202], count: 50
w: [-3.8237948  -2.3575     -2.9970558  -1.58433202], count: 3
w: [-3.8116688  -2.335153   -3.0443828  -1.48730802], count: 23
w: [-4.1812788  -3.702943   -1.2864328  -1.74911802], count: 3
w: [-4.0132888  -3.282263   -1.7404128  -1.98842802], count: 25
w: [-3.8904988  -2.879173   -2.2047628  -2.37967802], count: 7
w: [-3.7841288  -2.509603   -2.6207028  -2.57346802], count: 3
w: [-3.6260288  -2.422694   -2.8520828  -2.49105602], count: 5
w: [-3.7942288  -3.103904   -2.1381028  -2.35782602], count: 28
w: [-3.7727978  -3.173433   -2.0503918  -2.32817302], count: 31
w: [-3.6708578  -3.063143   -2.2803918  -2.26877802], count: 1
w: [-3.7228048  -2.736813   -2.5893418  -2.17028602], count: 5
w: [-3.5720348  -2.540853   -2.8951818  -2.18252902], count: 3
w: [-3.4500548  -2.331033   -3.2147218  -2.16968602], count: 46
w: [-3.3756268  -2.708263   -3.0534118  -2.01214602], count: 35
w: [-3.3196878  -2.739303   -3.0351048  -1.96749302], count: 27
w: [-3.4363578  -2.881673   -2.7426948  -1.90137402], count: 16
w: [-3.4333359  -2.986793   -2.6024548  -1.82400502], count: 8
w: [-3.6454359  -2.992381   -2.4075548  -1.68870502], count: 12
w: [-3.6110959  -2.979966   -2.4362878  -1.67405102], count: 28
w: [-3.6630459  -2.653636   -2.7452378  -1.57556102], count: 17
w: [-3.7996459  -2.63522    -2.6546988  -1.41750102], count: 10
w: [-3.8021773  -2.652603   -2.6660378  -1.29552102], count: 20
w: [-3.80177185 -2.589698   -2.7301588  -1.21970402], count: 3
w: [-4.08568185 -3.252698   -1.6816688  -1.26181702], count: 12
w: [-4.11860185 -2.807178   -2.1388488  -1.16293702], count: 4
w: [-3.97359185 -2.446508   -2.5444188  -1.32259702], count: 20
w: [-3.75416185 -1.991478   -3.0420188  -1.59513702], count: 20
w: [-3.98041185 -2.0014115  -2.7607488  -1.54647502], count: 4
w: [-4.12009185 -2.9683915  -1.8142288  -1.58134702], count: 15
w: [-4.17204185 -2.6420615  -2.1231788  -1.48285702], count: 36
w: [-4.18375785 -2.5816395  -2.1617658  -1.48876352], count: 20
w: [-4.13195785 -2.5557745  -2.2458508  -1.39264552], count: 36
w: [-3.92885785 -2.3705745  -2.5470608  -1.39234522], count: 39
w: [-3.72708785 -2.1907545  -2.8428708  -1.37135522], count: 3
w: [-4.06290785 -2.9147945  -1.6986808  -1.42846822], count: 13
w: [-4.03851385 -2.7674645  -1.8406008  -1.48700322], count: 4
w: [-4.09046385 -2.4411345  -2.1495508  -1.38851322], count: 12
w: [-3.98494385 -2.3225645  -2.4136608  -1.37748022], count: 9
w: [-3.74577385 -1.8669145  -2.9125408  -1.66735022], count: 1
w: [-3.73314985 -2.8990745  -2.5413308  -1.05550022], count: 22
w: [-3.55439985 -2.4210745  -3.0549508  -1.37912022], count: 3
w: [-3.95657985 -3.2514745  -1.7994508  -1.53011022], count: 2
w: [-4.04954985 -2.8717645  -2.2637408  -1.50054022], count: 4
w: [-4.03344185 -2.2255245  -3.0994708  -1.34838022], count: 2
w: [-4.05073785 -2.3436845  -2.9612908  -1.27502022], count: 19
w: [-3.89169785 -2.1224745  -3.2731208  -1.28674522], count: 1
w: [-3.99023785 -2.7885745  -2.6906708  -1.23213522], count: 44
w: [-4.02316185 -2.3430545  -3.1478508  -1.13325522], count: 5
w: [-4.14884185 -2.4903845  -2.8606708  -1.08860222], count: 17
w: [-4.21872085 -2.8280945  -2.4485608  -0.93817222], count: 7
w: [-4.09593085 -2.4250045  -2.9129108  -1.32942222], count: 7
w: [-3.95092085 -2.0643345  -3.3184808  -1.48908222], count: 2
w: [-3.9505154  -2.0014295  -3.3826018  -1.41326522], count: 1
w: [-4.1073254  -2.7258895  -2.7272318  -1.42602522], count: 39
w: [-3.9482854  -2.5046795  -3.0390618  -1.43775022], count: 10
w: [-3.7975154  -2.3087195  -3.3449018  -1.44999322], count: 10
w: [-4.1363554  -3.1302195  -2.3117518  -1.35180622], count: 4
w: [-3.9576054  -2.6522195  -2.8253718  -1.67542622], count: 11
w: [-4.1138154  -2.8734295  -2.3994618  -1.64745422], count: 10
w: [-4.0620154  -2.8475645  -2.4835468  -1.55133622], count: 7
w: [-4.0060764  -2.8786045  -2.4652398  -1.50668322], count: 15
w: [-4.0086078  -2.8959875  -2.4765788  -1.38470322], count: 1
w: [-3.9924998  -2.2497475  -3.3123088  -1.23254322], count: 7
w: [-4.0697878  -2.9944775  -2.6631088  -1.19642422], count: 12
w: [-3.9634178  -2.6249075  -3.0790488  -1.39021422], count: 4
w: [-4.1166378  -3.1345675  -2.4112588  -1.37271622], count: 2
